,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
101,91.6,0,18,2.9,63,2.1,11.2,54.7,0,18.3,1.9,53.8,2.3,12,55.1,0,19.3,2.9,60.5,1.4,8.6
102,54.7,0,18.3,1.9,53.8,2.3,12,55.1,0,19.3,2.9,60.5,1.4,8.6,64.9,15.5,12.8,6.4,75,3.1,0
103,55.1,0,19.3,2.9,60.5,1.4,8.6,64.9,15.5,12.8,6.4,75,3.1,0,101,12.4,11,4.8,84,2.1,0
104,64.9,15.5,12.8,6.4,75,3.1,0,101,12.4,11,4.8,84,2.1,0,96.3,5.4,7.5,2.4,65.3,3.3,0
105,101,12.4,11,4.8,84,2.1,0,96.3,5.4,7.5,2.4,65.3,3.3,0,92.8,0,12.4,0.1,55,2.1,9.3
106,96.3,5.4,7.5,2.4,65.3,3.3,0,92.8,0,12.4,0.1,55,2.1,9.3,81.7,4.9,10.3,2.5,75,1.7,3.5
107,92.8,0,12.4,0.1,55,2.1,9.3,81.7,4.9,10.3,2.5,75,1.7,3.5,75.6,0,12.2,3.9,75.8,1.2,6.6
108,81.7,4.9,10.3,2.5,75,1.7,3.5,75.6,0,12.2,3.9,75.8,1.2,6.6,70.7,0,18.8,1.6,66.5,1.5,3.5
109,75.6,0,12.2,3.9,75.8,1.2,6.6,70.7,0,18.8,1.6,66.5,1.5,3.5,209.8,35,19.6,5.1,69.5,5.2,0
110,70.7,0,18.8,1.6,66.5,1.5,3.5,209.8,35,19.6,5.1,69.5,5.2,0,437.7,0,13.6,3.1,38.5,4,5.6
111,209.8,35,19.6,5.1,69.5,5.2,0,437.7,0,13.6,3.1,38.5,4,5.6,246,0,15.8,1.1,49.5,3.2,11.6
112,437.7,0,13.6,3.1,38.5,4,5.6,246,0,15.8,1.1,49.5,3.2,11.6,146.8,0,16.4,0.8,53,2.1,9.3
113,246,0,15.8,1.1,49.5,3.2,11.6,146.8,0,16.4,0.8,53,2.1,9.3,101.4,0,14,0.5,43.5,3.8,10.8
114,146.8,0,16.4,0.8,53,2.1,9.3,101.4,0,14,0.5,43.5,3.8,10.8,80.5,0,15.6,0.4,46.8,2.7,12.1
115,101.4,0,14,0.5,43.5,3.8,10.8,80.5,0,15.6,0.4,46.8,2.7,12.1,64.5,0,18.4,0.6,45.8,2.2,12.2
116,80.5,0,15.6,0.4,46.8,2.7,12.1,64.5,0,18.4,0.6,45.8,2.2,12.2,53.9,0,20.2,1.6,56,0.6,8.6
117,64.5,0,18.4,0.6,45.8,2.2,12.2,53.9,0,20.2,1.6,56,0.6,8.6,64.5,16.5,10.7,7,84.3,1.3,0
118,53.9,0,20.2,1.6,56,0.6,8.6,64.5,16.5,10.7,7,84.3,1.3,0,64.5,0,14.8,5,79.8,1.2,2.2
119,64.5,16.5,10.7,7,84.3,1.3,0,64.5,0,14.8,5,79.8,1.2,2.2,64.5,0,18.7,3.6,69.3,0.8,5.4
120,64.5,0,14.8,5,79.8,1.2,2.2,64.5,0,18.7,3.6,69.3,0.8,5.4,48.5,0,21.6,5.7,64.3,2.2,11.4
121,64.5,0,18.7,3.6,69.3,0.8,5.4,48.5,0,21.6,5.7,64.3,2.2,11.4,49.2,0,22.8,4.9,53,1.8,11.7
122,48.5,0,21.6,5.7,64.3,2.2,11.4,49.2,0,22.8,4.9,53,1.8,11.7,44.1,0,24,5.4,41.5,2.9,12.1
123,49.2,0,22.8,4.9,53,1.8,11.7,44.1,0,24,5.4,41.5,2.9,12.1,42.3,2.7,19.3,7.8,72,0.6,0.9
124,44.1,0,24,5.4,41.5,2.9,12.1,42.3,2.7,19.3,7.8,72,0.6,0.9,44.1,4.6,21.8,12.6,54,3.9,6.7
125,42.3,2.7,19.3,7.8,72,0.6,0.9,44.1,4.6,21.8,12.6,54,3.9,6.7,38.6,0,19.4,4.8,43.5,3.8,7.3
126,44.1,4.6,21.8,12.6,54,3.9,6.7,38.6,0,19.4,4.8,43.5,3.8,7.3,39.5,0,21,5.6,43.5,1.4,12
127,38.6,0,19.4,4.8,43.5,3.8,7.3,39.5,0,21,5.6,43.5,1.4,12,15.9,0,23.1,5.7,55.3,1.4,11.5
128,39.5,0,21,5.6,43.5,1.4,12,15.9,0,23.1,5.7,55.3,1.4,11.5,19.7,0,22,6.1,55.8,1.4,9.9
129,15.9,0,23.1,5.7,55.3,1.4,11.5,19.7,0,22,6.1,55.8,1.4,9.9,22.4,0,21.8,7.8,63.8,1.5,7.2
130,19.7,0,22,6.1,55.8,1.4,9.9,22.4,0,21.8,7.8,63.8,1.5,7.2,36.2,0,25.1,6.2,54,2.6,12.4
131,22.4,0,21.8,7.8,63.8,1.5,7.2,36.2,0,25.1,6.2,54,2.6,12.4,22.6,0,28.1,7.7,54.8,1.7,12.5
132,36.2,0,25.1,6.2,54,2.6,12.4,22.6,0,28.1,7.7,54.8,1.7,12.5,31.1,22,15,12.2,88.3,1.1,0
133,22.6,0,28.1,7.7,54.8,1.7,12.5,31.1,22,15,12.2,88.3,1.1,0,41.5,1.2,20.8,13.9,77,1.9,2.8
134,31.1,22,15,12.2,88.3,1.1,0,41.5,1.2,20.8,13.9,77,1.9,2.8,41.2,9,21.8,12,79.8,1.8,3
135,41.5,1.2,20.8,13.9,77,1.9,2.8,41.2,9,21.8,12,79.8,1.8,3,39.6,0,24,12.2,52.5,2.1,10.9
136,41.2,9,21.8,12,79.8,1.8,3,39.6,0,24,12.2,52.5,2.1,10.9,43.7,0,19.4,9.8,44,4,11.6
