,inflow,outflow,precipitation,temp_max,temp_min,humidity,wind,solar
1980-11-19,3.4,75.3,0,13.9,0.3,88,0.6,4.2
1980-11-20,7.2,66,0,11,-0.3,87.5,0.5,2.6
1980-11-21,8.6,54.3,1.1,14.5,7.1,78.3,2,0
1980-11-22,3.4,62.2,0,16.4,3.3,77.5,1.4,8.2
1980-11-23,3.4,0,0,11.2,1.3,91.3,0.6,3.6
1980-11-24,12.4,84.3,9.9,8.6,2.3,95.5,1,0
1980-11-25,13.9,85.8,0,11.8,1.9,79,1.2,3
1980-11-26,14.1,92.5,0,13.8,3.9,78,0.6,5.9
1980-11-27,15.6,67.9,0,9.5,1.6,90.3,0.7,1.9
1980-11-28,11.2,68.9,0,14.3,1.5,82.8,0.4,5.7
1980-11-29,10.2,80.8,0,6.4,-0.4,93.3,0.3,1.6
1980-11-30,6.4,0,0.5,12.9,0.1,68.3,1.7,3.7
1980-12-01,11.5,81.8,0,11.1,-3.9,76,0.6,8.3
1980-12-02,6.8,70.9,3.3,6.6,-2.3,71.3,2.7,0.6
1980-12-03,7,77.5,3.5,3,-6.4,73.3,3.4,1.3
1980-12-04,7.4,84.3,0,-2.4,-13,61.3,2.3,8.4
1980-12-05,3.4,93.1,0.9,1.5,-12.5,77.8,0.8,6.9
1980-12-06,3.1,80,0,5.9,-1.7,81.5,1.2,5.1
1980-12-07,4.3,68.4,0,6.2,-5,70.3,0.9,8.3
1980-12-08,1.6,102.1,0,3.2,-7,71,1.9,7.6
1980-12-09,5.7,93.6,0,1.6,-7.7,69.8,1.5,7.1
1980-12-10,3.1,91,0.2,4.3,-3.3,87.5,0.6,4
1980-12-11,11.3,74.1,8.2,3.6,0.3,96,1,0
1980-12-12,4.8,61.3,0,1.6,-13.1,46,5.9,6.9
1980-12-13,5.2,80.6,0,-6,-14.7,47.5,3.7,7.9
1980-12-14,1,7.3,0.5,-1.5,-12.3,67.8,1.7,5.4
1980-12-15,6.2,50.2,0,-0.3,-12.6,67.3,1,8.1
1980-12-16,0.7,51,0,0.8,-11.6,80,0.3,6.5
1980-12-17,1.6,33,0,2.9,-9.5,78.8,0.4,4.8
1980-12-18,0.9,52,0,4.8,-9.1,68,1,6.6
1980-12-19,0.1,24.7,0,1.5,-10,66.5,1.7,8
1980-12-20,10.3,16.5,0,-1.3,-10.8,60.5,1.5,7.5
1980-12-21,6.2,0,0,0.1,-13.6,74.8,0.3,7
1980-12-22,9.8,65.2,7.4,-3,-11.3,91,0.3,0
1980-12-23,3.3,27.9,4.2,2.2,-8.4,84.3,1.4,4.9
1980-12-24,4.2,10.4,0.2,6.6,-8.6,77.5,1,8.2
1980-12-25,4.5,4.5,0,3.1,-8.8,72.3,2,7.2
1980-12-26,1.2,13.5,0,-2.8,-14.9,55.3,4.2,7.7
1980-12-27,1.1,7.3,0,-6.2,-18.5,65,2.9,8.5
1980-12-28,6.2,0,0,-7.6,-20.2,63.8,3.1,7.8
1980-12-29,1.9,26.5,0,-8.1,-20.5,69.5,0.8,7.5
1980-12-30,1.3,7.5,0,-6.7,-19.1,76.3,0.3,8.4
1980-12-31,6.2,0,0,-3.8,-17.8,77.3,0.2,4.5
1981-01-01,12.3,0,15.1,-2.1,-9.2,86.3,1.2,0
